images,nameScientific,nameCommon,description,foundInStates,seasons,hasVeil,veilType,stemColors,capShape,capColors,hasGills,gillsType,gillsAttachment,sporePrint,bruising,use,created,license,wikipediapage,citations
https://upload.wikimedia.org/wikipedia/commons/0/01/ChampignonMushroom.jpg,Agaricus bisporus,Portobello,"Agaricus bisporus is an edible basidiomycete mushroom native to grasslands in Europe and North America. It has two color states while immature – white and brown – both of which have various names, with additional names for the mature state.
A. bisporus is cultivated in more than seventy countries and is one of the most commonly and widely consumed mushrooms in the world. [1]",N/A,"spring, fall",yes,ring,"white (immature), brown (mature)",convex,"white (immature), brown (mature)",yes,gills,free,brown,pale pinkish-red,edible,2/8/22,https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/Agaricus_bisporus ,"[1] Cappelli A. (1984). Fungi Europaei:Agaricus (in Italian). Saronno, Italy: Giovanna Biella. pp. 123–25."
https://upload.wikimedia.org/wikipedia/commons/6/64/Shiitakegrowing.jpg,Lentinula edodes,Shiitake,"Shiitake grow in groups on the decaying wood of deciduous trees, particularly shii and other chinquapins, chestnut, oak, maple, beech, sweetgum, poplar, hornbeam, ironwood, and mulberry. Its natural distribution includes warm and moist climates in Southeast Asia. [1]",N/A,"summer, spring, fall",no,bare,white to cream,convex,brown,yes,gills,N/A,"white, cream",N/A,edbile,2/8/22,https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/Shiitake,"[1] Wasser S. (2004). ""Shiitake (Lentinula edodes)"". In Coates PM; Blackman M; Cragg GM; White JD; Moss J; Levine MA. (eds.). Encyclopedia of Dietary Supplements. CRC Press. pp. 653–64. ISBN 978-0-8247-5504-1."
https://upload.wikimedia.org/wikipedia/commons/9/94/Oyster_mushoom_fells.jpg,Pleurotus ostreatus,Oyster,"Pleurotus is a genus of gilled mushroomswhich includes one of the most widely eaten mushrooms, P. ostreatus. Species of Pleurotusmay be called oyster, abalone, or tree mushrooms, and are some of the most commonly cultivated edible mushrooms in the world.[1]  Pleurotus fungi have also been used in mycoremediation of pollutants, such as petroleum and polycyclic aromatic hydrocarbons.[2][3]",N/A,"summer, fall",no,bare,white,offset,white,yes,gills,decurrent,"white, grey",N/A,edible,2/8/22,https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/Pleurotus,"[1] Chang, Shu-ting; Miles, Philip G. (2004). ""Pleurotus – A Mushroom of Broad Adaptability"". Mushrooms: cultivation, nutritional value, medicinal effect, and environmental impact (2nd ed.). CRC Press. pp. 315–325. ISBN 978-0-8493-1043-0. [2] Paul Stamets (2005). Mycelium Running. Berkeley, California: Ten Speed Press. ISBN 978-1-58008-579-3. OCLC 262557556. [3] Cohen, R.; Persky, L.; Hadar, Y. (2002). ""Biotechnological applications and potential of wood-degrading mushrooms of the genus Pleurotus"" (PDF). Applied Microbiology and Biotechnology. 58 (5): 582–94. doi:10.1007/s00253-002-0930-y."
https://upload.wikimedia.org/wikipedia/commons/1/18/EnokitakeJapaneseMushroom.jpg,Flammulina velutipes,Enoki,"Enoki (Flammulina velutipes), also known as velvet shank, is a species of edible mushroom in the family Physalacriaceae. It is well known for its role in Japanese cuisine, where it is also known as enokitake (榎茸, エノキタケ, Japanese pronunciation: [enoki̥ꜜtake]).[1]

The mushroom naturally grows on the stumps of the Chinese hackberry tree (Celtis sinensis) and on other trees, such as ash, mulberry and persimmon trees. Enoki can be sourced September- March and has been named winter fungus due to its seasonality. Wild forms differ in color, texture, and sliminess and may be called futu, seafood mushrooms, winter mushrooms or winter fungus, velvet foot, velvet stem or velvet shank.[2]",N/A,"winter, spring",no,bare,"white (cultivated), red brown (wild)",convex,"white (cultivated), red brown (wild)",yes,gills,adnexed,white,N/A,edible,2/8/22,https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/Enokitake,"[1] Dictionary.com (2012). ""enokitake"". Dictionary.com. Dictionary.com, LLC. Retrieved 14 May 2012. [2]  Shanghai Xuerong Biotechnology Co Ltd on Seafood Mushrooms"
https://upload.wikimedia.org/wikipedia/commons/0/02/2007-07-14_Cantharellus_cibarius_Detail.jpg,Cantharellus cibarius,Chanterelle,"Chanterelle is the common name of several species of fungi in the genera Cantharellus, Craterellus, Gomphus, and Polyozellus. They are among the most popular of wild edible mushrooms. They are orange, yellow or white, meaty and funnel-shaped. On the lower surface, underneath the smooth cap, most species have rounded, forked folds[1] that run almost all the way down the stipe, which tapers down seamlessly from the cap. Many species emit a fruity aroma, reminiscent of apricots, and often have a mildly peppery taste (hence its German name, Pfifferling). The name chanterelle originates from the Greek kantharos meaning ""tankard"" or ""cup"",[2][3] a reference to their general shape.",N/A,"summer, fall",no,bare,yellow,convex,yellow,yes,gills,free,"white, yellow",N/A,edible,2/8/22,https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/Chanterelle,"[1]Marrone, Teresa. (2020). Mushrooms of the upper midwest : a simple guide to common mushrooms. Adventure Publications, Inc. ISBN 978-1-59193-960-3. OCLC 1151845587 [2] Pilz D, Norvell L, Danell E, Molina R (March 2003). Ecology and management of commercially harvested chanterelle mushrooms. Gen. Tech. Rep. PNW-GTR-576 (PDF). Portland, OR: Department of Agriculture, Forest Service, Pacific Northwest Research Station. Retrieved 2011-03-25. [3]  chanterelle at dictionary.com"
https://upload.wikimedia.org/wikipedia/commons/b/b0/Boletus_edulis_EtgHollande_041031_091.jpg,Boletus edulis,Porcini,"The fungus grows in deciduous and coniferous forests and tree plantations, forming symbiotic ectomycorrhizal associations with living trees by enveloping the tree's underground roots with sheaths of fungal tissue. The fungus produces spore-bearing fruit bodies above ground in summer and autumn. The fruit body has a large brown cap which on occasion can reach 30 cm (12 in), rarely 40 cm (16 in) in diameter and 3 kg (6 lb 10 oz) in weight. Like other boletes, it has tubes extending downward from the underside of the cap, rather than gills; spores escape at maturity through the tube openings, or pores. The pore surface of the B. edulis fruit body is whitish when young, but ages to a greenish-yellow. The stout stipe, or stem, is white or yellowish in colour, up to 20 cm (8 in), rarely 30 cm (12 in) tall and 10 cm (4 in) thick, and partially covered with a raised network pattern, or reticulations. [1]",N/A,"summer, fall",no,bare,white,convex,brown,yes,gills,adnate,browm,N/A,edible,2/8/22,https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/Boletus_edulis,"[1] ""Boletus edulis Bull. 1782"". MycoBank. International Mycological Association. Retrieved 2010-10-21."
https://upload.wikimedia.org/wikipedia/commons/8/82/Morchella_conica_1_beentree.jpg,Morchella esculenta,Morel,"Morchella, the true morels, is a genus of edible sac fungi closely related to anatomically simpler cup fungi in the order Pezizales (division Ascomycota). These distinctive fungi have a honeycomb appearance due to the network of ridges with pits composing their caps. Morels are prized by gourmet cooks, particularly in French cuisine. Due to difficulties in cultivation, commercial harvesting of wild morels has become a multimillion-dollar industry in the temperate Northern Hemisphere, in particular North America, Turkey, China, the Himalayas, India, and Pakistan where these highly prized fungi are found in abundance.

Typified by Morchella esculenta in 1794, the genus has been the source of considerable taxonomical controversy throughout the years, mostly with regard to the number of species involved, with some mycologists recognising as few as three species and others over thirty. Current molecular phylogenetics suggest there might be over seventy species of Morchella worldwide, most of them exhibiting high continental endemism and provincialism. [1]",N/A,"summer, fall",no,bare,white,ovate,brown,no,pores,free,"light cream, light yellow",N/A,choice (cooked),2/8/22,https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/Morchella,"[1] ""Morchella Dill. ex Pers"". Species Fungorum. CAB International. Retrieved 2014-12-11."
https://upload.wikimedia.org/wikipedia/commons/0/00/Igelstachelbart_Nov_06.jpg,Hericium erinaceus,Lion’s Mane,"Hericium erinaceus (also called lion's mane mushroom, mountain-priest mushroom or bearded tooth fungus) is an edible mushroom belonging to the tooth fungus group.[1] Native to North America, Europe and Asia, it can be identified by its long spines (greater than 1 cm length), occurrence on hardwoods, and tendency to grow a single clump of dangling spines. The fruit bodies can be harvested for culinary use.

Hericium erinaceus can be mistaken for other species of Hericium, which grow across the same range. In the wild, these mushrooms are common during late summer and fall on hardwoods, particularly American beech and maple. Usually H. erinaceus is considered saprophytic, as it mostly feeds on dead trees.[2] However, it can also be found on living trees, so may be a tree parasite. This could indicate an endophytic habitat.[2]",N/A,"summer, fall",no,N/A,white,N/A,N/A,no,teeth,N/A,white,N/A,choice,2/8/22,https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/Hericium_erinaceus,"[1] ""Reforestation: Traditional Methods Have to Change"". The Sierra Forest Voice. Vol. 8, no. 2. 2015. [2] ""Lion's mane mushroom"". Drugs.com. 23 November 2020. Retrieved 2 September 2021. [3] Sokół, Sławomir; Golak-Siwulska, Iwona; Sobieralski, Krzysztof; Siwulski, Marek; Górka, Katarzyna (2016-01-29). ""Biology, cultivation, and medicinal functions of the mushroom Hericium erinaceum"". Acta Mycologica. 50 (2). doi:10.5586/am.1069. ISSN 2353-074X."
https://upload.wikimedia.org/wikipedia/commons/0/01/ChampignonMushroom.jpg,Agaricus bisporus,White Button,"The pileus or cap of the original wild species is a pale grey-brown in color, with broad, flat scales on a paler background and fading toward the margins. It is first hemispherical in shape before flattening out with maturity, and 5–10 centimetres (2–4 inches) in diameter. The narrow, crowded gills are free and initially, pink, then red-brown and finally a dark brown with a whitish edge from the cheilocystidia. The cylindrical stipe is up to 6 cm (2+1⁄2 in) tall by 1–2 cm (1⁄2–3⁄4 in) wide and bears a thick and narrow ring, which may be streaked on the upper side. The firm flesh is white, although stains a pale pinkish-red on bruising.[12][13] The spore print is dark brown. The spores are oval to round and measure approximately 4.5–5.5 μm × 5–7.5 μm, and the basidia usually two-spored, although two-tetrasporic varieties have been described from the Mojave Desert and the Mediterranean, with predominantly heterothallic and homothallic lifestyles, respectively.[14][15]",N/A,fall,yes,ring,white,convex,white,yes,gills,free,brown,N/A,choice,2/8/22,https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/Agaricus_bisporus,"[12] Zeitlmayr L (1976). Wild Mushrooms:An Illustrated Handbook. Garden City Press, Hertfordshire. pp. 82–83. ISBN 0-584-10324-7. [13] Carluccio A. (2003). The Complete Mushroom Book. Quadrille. ISBN 1-84400-040-0. [14] Callac P, Billette C, Imbernon M, Kerrigan RW (1993). ""Morphological, genetic, and interfertility analyses reveal a novel, tetrasporic variety of Agaricus bisporus from the Sonoran Desert of California"". Mycologia. 85 (5): 835–851. doi:10.2307/3760617. JSTOR 3760617. [15]  Callac P, Imbernon M, Guinberteau J, Pirobe L, Granit S, Olivier JM, Theochari I (2000). ""Discovery of a wild Mediterranean population of Agaricus bisporus, and its usefulness for breeding work"". Mushroom Science. 15: 245–252."
https://upload.wikimedia.org/wikipedia/commons/6/60/Eikhaas.JPG,Grifola frondosa,Maitake,"Grifola frondosa (also known as hen-of-the-woods, maitake (舞茸, ""dancing mushroom"") in Japanese, ram's head or sheep's head) is a polypore mushroom that grows at the base of trees, particularly old growth oaks or maples. It is typically found in late summer to early autumn. It is native to China, Europe, and North America.[2]",N/A,"summer, fall",no,bare,"white, brown",offset,"white, brown",no,pores,decurrent,white,N/A,choice,2/8/22,https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License,https://en.wikipedia.org/wiki/Grifola_frondosa,"[1] McIlvaine, Charles; Robert K. Macadam; and Robert L. Shaffer. 1973. One Thousand American Fungi. Dover Publications. New York. 729 pp. (Polyporus frondosus, pp. 482-483 & Plate CXXVIII.) [2] Meuninck, Jim (2015-06-01). Jim Meuninck - Basic Illustrated Edible and Medicinal Mushrooms, pp. 13-14, Rowman & Littlefield, 1 Jun 2015. ISBN 9781493014682. Retrieved 27 April 2017."
